Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",402,4,100nF,C60474
"C2, C6, C7",402,3,10uF,C315248
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_14P,C7095263
J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,C434808
L1,603,1,15uH,C486329
"R1, R2",402,2,5.1k,C105872
"R3, R4",402,2,10k,C60490
SW1,SW_SPST_B3U-1000P,1,RST,C231329
SW2,SW_SPST_B3U-1000P,1,BOOT,C231329
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913197
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,C191341
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
