Designator,Mid X,Mid Y,Rotation,Layer
C1,199.52,-90.0,0.0,top
C2,199.52,-92.5,0.0,top
C3,202.0,-88.0,0.0,top
C4,194.5,-88.0,0.0,top
C5,194.48,-82.5,0.0,top
C6,171.5,-92.0,270.0,top
C7,183.5,-88.5,90.0,top
J1,163.675,-97.07,0.0,top
J2,198.5,-96.5,270.0,top
L1,196.0,-90.2875,270.0,top
R1,162.5,-92.5,90.0,top
R2,170.5,-97.5,0.0,top
R3,177.0,-94.5,270.0,top
R4,181.5,-94.5,270.0,top
SW1,177.15,-98.0,180.0,top
SW2,181.5,-98.0,180.0,top
U1,168.6,-70.64,0.0,top
U2,198.15,-84.85,90.0,top
U3,177.0,-89.0,180.0,top
U4,152.175,-81.475,90.0,top
U5,192.5,-72.5,0.0,top
